Size	BST/Insert	BST/Remove	BST/Search	DLL/Insert at the back	DLL/Insert at the front	DLL/Remove from the back	DLL/Remove from the front	DLL/Search	Hash Table/Insert	Hash Table/Remove	Hash Table/Search	SLL/Insert at the back	SLL/Insert at the front	SLL/Remove from the front	SLL/Search	Vector/Insert at the back	Vector/Insert at the front	Vector/Remove from the back	Vector/Remove from the front	Vector/Search
21250	358	306	2339022	1	10	0	17	352243	127	175	2435546	270249	6	0	308889	30	160366	0	121283	304935
21500	314	263	2390071	2	19	1	0	356198	108	202	2444224	269547	5	0	308853	84	152714	0	123512	299468
21750	321	311	2422017	33	21	4	1	321966	118	195	2514111	260295	25	60	319865	44	157103	0	124914	336427
22000	826	263	2466739	5	20	0	0	335826	129	42	2483756	262870	3	0	319857	18	162486	0	131090	302749
22250	595	321	2454066	1	6	1	0	330845	135	76	2517479	304446	6	3	337577	52	162590	0	132473	308691
22500	456	288	2538863	12	43	0	0	347867	131	47	2569956	282973	33	3	361397	23	163175	0	129537	304869
22750	438	302	2575422	17	11	0	1	352567	158	63	2603926	298579	38	2	352643	41	169816	0	128160	314356
23000	478	298	2621841	5	39	1	0	347161	137	66	2622745	338598	123	0	337570	68	167546	0	131419	319555
23250	446	265	2611508	51	66	2	0	347418	131	74	2674559	305990	65	0	346728	65	173543	0	130623	316546
23500	521	321	2633045	32	14	1	1	357733	122	79	2673666	311700	15	32	374435	20	171060	0	136598	325080
23750	425	319	2678244	13	10	1	0	359152	112	140	2704062	350048	8	0	349936	44	170773	0	135417	329697
24000	439	363	2710668	5	4	0	4	366872	113	113	2732197	338976	46	2	351855	38	173858	0	138812	336997
24250	447	304	2712821	12	10	31	0	374545	113	22	2776127	328765	20	0	364678	36	175134	0	141612	337188
24500	472	262	2750044	43	9	0	1	375625	149	47	2805630	364976	9	0	363279	47	177642	0	140331	352543
24750	458	275	2802338	41	14	0	1	378437	130	8	2855568	368042	12	0	368312	27	182964	2	140904	341822
25000	498	282	2865955	60	38	2	17	382859	170	0	2883690	368068	17	0	382551	32	184123	0	143538	344804
25250	452	298	2823780	40	12	0	1	380380	154	25	2925683	381992	12	0	381918	34	185519	0	142401	349835
25500	417	303	2906130	32	10	0	0	391483	126	5	2918943	369523	13	0	375615	21	188167	0	147835	352325
25750	430	297	2959505	9	11	0	1	390839	3908	5	2938122	421130	18	0	381228	50	186264	4	153834	352822
26000	471	294	2953073	11	51	1	1	407423	87	4	2987449	410754	11	1	400229	35	189239	0	150023	375295
26250	503	389	2997960	3	9	9	0	397485	88	13	2999108	433499	15	0	414368	91	200214	2	148683	400053
26500	420	314	2985454	5	40	0	0	396923	64	30	3037897	525078	9	1	395286	27	193944	0	150072	383782
26750	441	265	3024187	109	91	0	0	406520	64	5	3062100	640896	123	0	402575	46	202923	0	157025	367327
27000	439	319	3058338	7	19	1	0	418325	120	2	3091123	525724	7	0	396185	132	198285	4	150535	377049
27250	435	269	3091683	7	24	0	1	415224	89	5	3114044	629251	6	33	406312	57	207516	48	153504	385075
27500	526	316	3154456	41	6	1	0	419839	116	8	3124322	545934	5	0	421552	67	206663	0	157087	386180
27750	529	296	3158644	2	8	0	1	426793	177	5	3171463	566640	24	1	418955	58	202901	1	163828	386981
28000	506	312	3222301	7	12	0	0	429632	78	22	3192247	639818	7	1	429037	61	205155	0	157425	399061
28250	635	290	3234213	7	76	1	0	440154	112	7	3252420	551055	74	0	426651	103	209624	23	162100	394054
28500	535	320	3270486	5	28	46	0	439118	79	31	3269135	633793	10	0	434727	77	211706	1	162446	391285
28750	507	305	3608977	4	10	0	0	439932	80	7	3329472	551134	9	0	442776	102	215700	3	161692	399792
29000	432	309	3411485	5	12	0	1	448003	101	3	3345096	604260	9	0	437640	51	226874	4	167427	400699
29250	486	275	3367233	24	11	0	0	442176	105	63	3366265	584682	7	0	443942	384	222901	43	175708	420194
29500	754	309	3321453	8	33	0	0	466205	132	39	3362439	640105	5	0	436552	71	218857	4	167629	417033
29750	414	335	3391220	7	11	15	0	466071	100	4	3377095	609612	8	1	453198	87	230005	2	173212	412447
30000	462	272	3413366	3	12	0	0	516356	171	11	3429482	682217	7	0	451564	267	229491	4	170867	421323
30250	357	312	3448044	3	67	0	1	535951	109	7	3475328	666451	7	0	461777	228	230061	3	170188	421112
30500	449	292	3444917	4	10	0	1	513599	106	86	3520322	649361	74	1	465384	69	225081	2	174937	435157
30750	388	462	3499782	25	10	0	0	501837	102	88	3506090	630700	6	0	466441	107	228930	0	174411	454480
31000	365	334	3524551	4	69	0	1	477127	193	3	3526287	692339	7	0	486124	23	227360	0	179930	442111
